t_frame,t_time,t_opcode,t_handle,t_value,r_frame,r_time,r_opcode,r_handle,r_value,dt
12922,88626.116837,WRITE_CMD,0x0026,00000900017000010371008e640001036500040000000367000101690078121f636f6d2e75707570686f6e652e737461722e6c61756e636865722e696e746c1a1a636f6d2e75707570686f6e652e737461722e6c61756e6368657222377b22616374696f6e223a2273797374656d222c2264617461223a7b22616374696f6e223a226765745f6465766963655f696e666f227d7d300f6d000101,12937,88626.212904,NOTIFY,0x0026,00000900017000010371016a6400010365000400000009670001006d000101690154121a636f6d2e75707570686f6e652e737461722e6c61756e636865721a1a636f6d2e75707570686f6e652e737461722e6c61756e636865722297027b226465766963655f696e666f223a7b226465766963655f6e616d65223a224d5956552044434231222c2273797374656d5f6d6f6465223a2258474130313043222c226272616e64223a22222c2273657269616c5f6e756d626572223a2231303031313830323433553030303957222c22776966695f6d6163223a2230303a30303a30303a30303a30303a3030222c22626c7565746f6f74685f61646472223a2232433a36463a34453a30303a44433a4231222c22746f74616c5f73746f72616765223a22222c22617661696c61626c655f73746f72616765223a22222c22726f6d5f76657273696f6e223a22466c796d6520585220312e302e31312e35332e32303234313132365f4169725f696e746c5f4652227d7d3006,0.096067
12923,88626.127217,WRITE_CMD,0x0026,00000900017000010371009064000103650004000000046700010169007a121f636f6d2e75707570686f6e652e737461722e6c61756e636865722e696e746c1a1a636f6d2e75707570686f6e652e737461722e6c61756e6368657222397b22616374696f6e223a2273797374656d222c2264617461223a7b22616374696f6e223a22776966695f656e61626c655f7374617465227d7d30106d000101,12937,88626.212904,NOTIFY,0x0026,00000900017000010371016a6400010365000400000009670001006d000101690154121a636f6d2e75707570686f6e652e737461722e6c61756e636865721a1a636f6d2e75707570686f6e652e737461722e6c61756e636865722297027b226465766963655f696e666f223a7b226465766963655f6e616d65223a224d5956552044434231222c2273797374656d5f6d6f6465223a2258474130313043222c226272616e64223a22222c2273657269616c5f6e756d626572223a2231303031313830323433553030303957222c22776966695f6d6163223a2230303a30303a30303a30303a30303a3030222c22626c7565746f6f74685f61646472223a2232433a36463a34453a30303a44433a4231222c22746f74616c5f73746f72616765223a22222c22617661696c61626c655f73746f72616765223a22222c22726f6d5f76657273696f6e223a22466c796d6520585220312e302e31312e35332e32303234313132365f4169725f696e746c5f4652227d7d3006,0.085687
12924,88626.138934,WRITE_CMD,0x0026,00000900017000010371008b640001036500040000000567000101690075121f636f6d2e75707570686f6e652e737461722e6c61756e636865722e696e746c1a1a636f6d2e75707570686f6e652e737461722e6c61756e6368657222347b22616374696f6e223a2273797374656d222c2264617461223a7b22616374696f6e223a226765745f6169725f6d6f6465227d7d30116d000101,12937,88626.212904,NOTIFY,0x0026,00000900017000010371016a6400010365000400000009670001006d000101690154121a636f6d2e75707570686f6e652e737461722e6c61756e636865721a1a636f6d2e75707570686f6e652e737461722e6c61756e636865722297027b226465766963655f696e666f223a7b226465766963655f6e616d65223a224d5956552044434231222c2273797374656d5f6d6f6465223a2258474130313043222c226272616e64223a22222c2273657269616c5f6e756d626572223a2231303031313830323433553030303957222c22776966695f6d6163223a2230303a30303a30303a30303a30303a3030222c22626c7565746f6f74685f61646472223a2232433a36463a34453a30303a44433a4231222c22746f74616c5f73746f72616765223a22222c22617661696c61626c655f73746f72616765223a22222c22726f6d5f76657273696f6e223a22466c796d6520585220312e302e31312e35332e32303234313132365f4169725f696e746c5f4652227d7d3006,0.073970
12925,88626.148212,WRITE_CMD,0x0026,00000900017000010371008b640001036500040000000667000101690075121f636f6d2e75707570686f6e652e737461722e6c61756e636865722e696e746c1a1a636f6d2e75707570686f6e652e737461722e6c61756e6368657222347b22616374696f6e223a2273797374656d222c2264617461223a7b22616374696f6e223a226765745f7a656e5f6d6f6465227d7d30126d000101,12937,88626.212904,NOTIFY,0x0026,00000900017000010371016a6400010365000400000009670001006d000101690154121a636f6d2e75707570686f6e652e737461722e6c61756e636865721a1a636f6d2e75707570686f6e652e737461722e6c61756e636865722297027b226465766963655f696e666f223a7b226465766963655f6e616d65223a224d5956552044434231222c2273797374656d5f6d6f6465223a2258474130313043222c226272616e64223a22222c2273657269616c5f6e756d626572223a2231303031313830323433553030303957222c22776966695f6d6163223a2230303a30303a30303a30303a30303a3030222c22626c7565746f6f74685f61646472223a2232433a36463a34453a30303a44433a4231222c22746f74616c5f73746f72616765223a22222c22617661696c61626c655f73746f72616765223a22222c22726f6d5f76657273696f6e223a22466c796d6520585220312e302e31312e35332e32303234313132365f4169725f696e746c5f4652227d7d3006,0.064692
12926,88626.157456,WRITE_CMD,0x0026,00000900017000010371009c640001036500040000000767000101690086121f636f6d2e75707570686f6e652e737461722e6c61756e636865722e696e746c1a1a636f6d2e75707570686f6e652e737461722e6c61756e6368657222457b22616374696f6e223a22756e6963726f6e5f62617474657279222c2276616c7565223a7b22616374696f6e223a226765745f756e6963726f6e5f62617474657279227d7d30136d000101,12937,88626.212904,NOTIFY,0x0026,00000900017000010371016a6400010365000400000009670001006d000101690154121a636f6d2e75707570686f6e652e737461722e6c61756e636865721a1a636f6d2e75707570686f6e652e737461722e6c61756e636865722297027b226465766963655f696e666f223a7b226465766963655f6e616d65223a224d5956552044434231222c2273797374656d5f6d6f6465223a2258474130313043222c226272616e64223a22222c2273657269616c5f6e756d626572223a2231303031313830323433553030303957222c22776966695f6d6163223a2230303a30303a30303a30303a30303a3030222c22626c7565746f6f74685f61646472223a2232433a36463a34453a30303a44433a4231222c22746f74616c5f73746f72616765223a22222c22617661696c61626c655f73746f72616765223a22222c22726f6d5f76657273696f6e223a22466c796d6520585220312e302e31312e35332e32303234313132365f4169725f696e746c5f4652227d7d3006,0.055448
12930,88626.171753,WRITE_CMD,0x0026,00000900017000010371013564000103650004000000086700010169011f121a636f6d2e75707570686f6e652e737461722e6c61756e636865721a1a636f6d2e75707570686f6e652e737461722e6c61756e6368657222e2017b22616374696f6e223a2273797374656d222c2264617461223a7b22616374696f6e223a226368616e67655f646f636b5f6974656d73222c2276616c7565223a22636f6d2e75707570686f6e652e737461722e6c61756e636865722e6d757369635f706c617965727c636f6d2e75707570686f6e652e61722e6e6176692e676c6173737c636f6d2e75707570686f6e652e61722e746963697c636f6d2e75707570686f6e652e61722e7472616e736c6174696f6e2e676c61737365737c636f6d2e75707570686f6e652e737461722e6c61756e636865722e73657474696e67227d7d30146d000101,12937,88626.212904,NOTIFY,0x0026,00000900017000010371016a6400010365000400000009670001006d000101690154121a636f6d2e75707570686f6e652e737461722e6c61756e636865721a1a636f6d2e75707570686f6e652e737461722e6c61756e636865722297027b226465766963655f696e666f223a7b226465766963655f6e616d65223a224d5956552044434231222c2273797374656d5f6d6f6465223a2258474130313043222c226272616e64223a22222c2273657269616c5f6e756d626572223a2231303031313830323433553030303957222c22776966695f6d6163223a2230303a30303a30303a30303a30303a3030222c22626c7565746f6f74685f61646472223a2232433a36463a34453a30303a44433a4231222c22746f74616c5f73746f72616765223a22222c22617661696c61626c655f73746f72616765223a22222c22726f6d5f76657273696f6e223a22466c796d6520585220312e302e31312e35332e32303234313132365f4169725f696e746c5f4652227d7d3006,0.041151
12931,88626.17892,WRITE_CMD,0x0026,00000900017000010371008b640001036500040000000967000101690075121f636f6d2e75707570686f6e652e737461722e6c61756e636865722e696e746c1a1a636f6d2e75707570686f6e652e737461722e6c61756e6368657222347b22616374696f6e223a2273797374656d222c2264617461223a7b22616374696f6e223a226765745f6c616e6775616765227d7d30156d000101,12937,88626.212904,NOTIFY,0x0026,00000900017000010371016a6400010365000400000009670001006d000101690154121a636f6d2e75707570686f6e652e737461722e6c61756e636865721a1a636f6d2e75707570686f6e652e737461722e6c61756e636865722297027b226465766963655f696e666f223a7b226465766963655f6e616d65223a224d5956552044434231222c2273797374656d5f6d6f6465223a2258474130313043222c226272616e64223a22222c2273657269616c5f6e756d626572223a2231303031313830323433553030303957222c22776966695f6d6163223a2230303a30303a30303a30303a30303a3030222c22626c7565746f6f74685f61646472223a2232433a36463a34453a30303a44433a4231222c22746f74616c5f73746f72616765223a22222c22617661696c61626c655f73746f72616765223a22222c22726f6d5f76657273696f6e223a22466c796d6520585220312e302e31312e35332e32303234313132365f4169725f696e746c5f4652227d7d3006,0.033984
12933,88626.190481,WRITE_CMD,0x0026,00000900017000010371011c640001036500040000000a67000101690106121f636f6d2e75707570686f6e652e737461722e6c61756e636865722e696e746c1a1a636f6d2e75707570686f6e652e737461722e6c61756e6368657222c4017b22616374696f6e223a2273797374656d222c2264617461223a7b22616374696f6e223a226e6f746966795f73746174656d656e745f6368616e6765222c2274797065223a22707269766163795f61677265656d656e74222c2276616c7565223a5b7b22706b67223a312c22737461747573223a747275657d2c7b22706b67223a322c22737461747573223a747275657d2c7b22706b67223a332c22737461747573223a747275657d2c7b22706b67223a342c22737461747573223a747275657d5d7d7d30166d000101,12937,88626.212904,NOTIFY,0x0026,00000900017000010371016a6400010365000400000009670001006d000101690154121a636f6d2e75707570686f6e652e737461722e6c61756e636865721a1a636f6d2e75707570686f6e652e737461722e6c61756e636865722297027b226465766963655f696e666f223a7b226465766963655f6e616d65223a224d5956552044434231222c2273797374656d5f6d6f6465223a2258474130313043222c226272616e64223a22222c2273657269616c5f6e756d626572223a2231303031313830323433553030303957222c22776966695f6d6163223a2230303a30303a30303a30303a30303a3030222c22626c7565746f6f74685f61646472223a2232433a36463a34453a30303a44433a4231222c22746f74616c5f73746f72616765223a22222c22617661696c61626c655f73746f72616765223a22222c22726f6d5f76657273696f6e223a22466c796d6520585220312e302e31312e35332e32303234313132365f4169725f696e746c5f4652227d7d3006,0.022423
12934,88626.206163,WRITE_CMD,0x0026,000009000170000103710018640001036500040000000b6700010169000220086d000101,12937,88626.212904,NOTIFY,0x0026,00000900017000010371016a6400010365000400000009670001006d000101690154121a636f6d2e75707570686f6e652e737461722e6c61756e636865721a1a636f6d2e75707570686f6e652e737461722e6c61756e636865722297027b226465766963655f696e666f223a7b226465766963655f6e616d65223a224d5956552044434231222c2273797374656d5f6d6f6465223a2258474130313043222c226272616e64223a22222c2273657269616c5f6e756d626572223a2231303031313830323433553030303957222c22776966695f6d6163223a2230303a30303a30303a30303a30303a3030222c22626c7565746f6f74685f61646472223a2232433a36463a34453a30303a44433a4231222c22746f74616c5f73746f72616765223a22222c22617661696c61626c655f73746f72616765223a22222c22726f6d5f76657273696f6e223a22466c796d6520585220312e302e31312e35332e32303234313132365f4169725f696e746c5f4652227d7d3006,0.006741
12941,88626.227624,WRITE_CMD,0x0026,0000090001700001037100a5640001036500040000000c6700010169008f121f636f6d2e75707570686f6e652e737461722e6c61756e636865722e696e746c1a1a636f6d2e75707570686f6e652e737461722e6c61756e63686572224e7b22616374696f6e223a2273797374656d222c2264617461223a7b22616374696f6e223a227365745f686561725f696d706169726d656e745f6d6f6465222c2276616c7565223a66616c73657d7d30176d000101,12945,88626.254129,NOTIFY,0x0026,00000900017000010371000b6400010465000400000004,0.026505
